Aarushi		Aarushi	"Dawn, Red Sky in the early morning, First rays of the Sun, Flame, Bright, Life giving, First rays of the sun, Bright, Brilliant and Radiant rays of Sun, Early morning Sunshine"
"Dawn, Red Sky in the early morning, First rays of the Sun, Flame, Bright, Life giving, First rays of the sun, Bright, Brilliant and Radiant rays of Sun, Early morning Sunshine"			
Niharika		Niharika	"Dew drops, Bunches of star, Nebula, Misty, The milky way, The one who looks very attractive."
"Dew drops, Bunches of star, Nebula, Misty, The milky way, The one who looks very attractive."			
Diya		Diya	"Lamp (Celebrity Name: Tamil superstar Surya), Radiance coming from a candle"
"Lamp (Celebrity Name: Tamil superstar Surya), Radiance coming from a candle"			
Shreya		Shreya	"Goddess Lakshmi, Auspicious, Luster, Prosperity, Pratham, Shrestha, Beauty, Grace, Power, Brilliance, Dignity power, Another name for Saraswati, Sacred, A musical Raag, Auspicious"
"Goddess Lakshmi, Auspicious, Luster, Prosperity, Pratham, Shrestha, Beauty, Grace, Power, Brilliance, Dignity power, Another name for Saraswati, Sacred, A musical Raag, Auspicious"			
Vamika		Vamika	"Goddess Durga, An epithet of the Goddess Durga, Situated on the left side of vam, I.e. Shiva"
"Goddess Durga, An epithet of the Goddess Durga, Situated on the left side of vam, I.e. Shiva"			
Sahasra		Sahasra	"A new beginning, The new begining, a new chance in life"
"A new beginning, The new begining, a new chance in life"			
Mishka		Mishka	Gift of Love
Gift of Love			
Pavika		Pavika	"Name of Lord Murugan, Goddess Saraswati (Goddess of education, Purifying, Fire"
"Name of Lord Murugan, Goddess Saraswati (Goddess of education, Purifying, Fire"			
Aiza		Aiza	"Noble, Respected, Having high place in the society"
"Noble, Respected, Having high place in the society"			
Aanya		Aanya	"Inexhaustible, Limitless, Resurrection, The one who is kind and warmly courteous"
"Inexhaustible, Limitless, Resurrection, The one who is kind and warmly courteous"			
Kiah		Kiah	"A new beginning, A New Beginning, God is strength, Little wise one,"
"A new beginning, A New Beginning, God is strength, Little wise one,"			
Nirvi		Nirvi	"Bliss, New comer to the family."
"Bliss, New comer to the family."			
Prisha		Prisha	love
love			
Pihu		Pihu	"She is great, Sweet sound, Pea-hen"
"She is great, Sweet sound, Pea-hen"			
Aliza		Aliza	"Joy, Joyous (The daughter of Ali ra), Joyful, blissful, pleasent"
"Joy, Joyous (The daughter of Ali ra), Joyful, blissful, pleasent"			
Aanaya		Aanaya	"Without a superior, God has shown favour"
"Without a superior, God has shown favour"			
Aashrita		Aashrita	"Somebody who gives shelter, Goddess Lakshmi, One who has taken refuge in the Lord, One who seeks shelter in abode of God, One of many names of Goddess Laxmi"
"Somebody who gives shelter, Goddess Lakshmi, One who has taken refuge in the Lord, One who seeks shelter in abode of God, One of many names of Goddess Laxmi"			
Deetya		Deetya	"Answer of prayers, Another name for Lakshmi, Goddess Laxmi has answered the prayers"
"Answer of prayers, Another name for Lakshmi, Goddess Laxmi has answered the prayers"			
Sia		Sia	"Goddess Sita, White moonlight, A handsome woman, White doorvaa grass, Arabian Jasmine, Candied sugar, One who is victorious, one who won"
"Goddess Sita, White moonlight, A handsome woman, White doorvaa grass, Arabian Jasmine, Candied sugar, One who is victorious, one who won"			
Kritika		Kritika	"Name of a star, Well starred, From the Nakshatra Kritika, A cluster of stars in constellation, Sic sisters from hindu mythology"
"Name of a star, Well starred, From the Nakshatra Kritika, A cluster of stars in constellation, Sic sisters from hindu mythology"			
Sharvi		Sharvi	Divine
Divine			
Kanishka		Kanishka	Name of a King of the Kushan Empire in South Asia who supported Buddhism
Name of a King of the Kushan Empire in South Asia who supported Buddhism			
Urvi		Urvi	"Earth, River, Both heaven and earth, Substantial, Our mother earth"
"Earth, River, Both heaven and earth, Substantial, Our mother earth"			
Adrija		Adrija	"Of the mountain, Another name of Goddess Parvati, Name of parvati"
"Of the mountain, Another name of Goddess Parvati, Name of parvati"			
Daksha		Daksha	"The earth, Sati, Another name for Paarvati (Wife of Lord Shiva)"
"The earth, Sati, Another name for Paarvati (Wife of Lord Shiva)"			
Dhanvika		Dhanvika	Tavishi
Tavishi			
"The name of Goddess Durga, Courage, Divine, Strength, Bravery, Virgin, River, Name of Goddess Durga"		"The name of Goddess Durga, Courage, Divine, Strength, Bravery, Virgin, River, Name of Goddess Durga"	Namasya
Namasya			
"A Goddess name, The person who deserves the worthy of honour and praise."		"A Goddess name, The person who deserves the worthy of honour and praise."	Savi
Savi			
"Goddess Lakshmi, The Sun, The Sun"		"Goddess Lakshmi, The Sun, The Sun"	Divyanshi
Divyanshi			
"Part of a divine power, The one who is part of divine power"		"Part of a divine power, The one who is part of divine power"	Kuhu
Kuhu			
"Cuckoo bird sings Kuhu, Means Cuckoo Bird Song"		"Cuckoo bird sings Kuhu, Means Cuckoo Bird Song"	Samanvitha
Samanvitha			
"One who possess all good qualities, Name of Goddess Durga"		"One who possess all good qualities, Name of Goddess Durga"	Ayaanshi
Ayaanshi			
Akshita		Akshita	"Permanent, Can not be broken easily.secure, Saved, Guarded, Wonder Girl, permanent or constant"
"Permanent, Can not be broken easily.secure, Saved, Guarded, Wonder Girl, permanent or constant"			
Janvi		Janvi	"Ganga - the river, As precious as your life, Another name of Ganga river"
"Ganga - the river, As precious as your life, Another name of Ganga river"			
Mysha		Mysha	Happy for entire life
Happy for entire life			
Manvi		Manvi	"Girl with humanity, One who poses all best qualities, One with best qualities"
"Girl with humanity, One who poses all best qualities, One with best qualities"			
Bhavika		Bhavika	"Cheerful expression, Well-behaved, Worthy, Cheerful expression"
"Cheerful expression, Well-behaved, Worthy, Cheerful expression"			
Inaya		Inaya	"Gift of Allah, Concern, Solicitude"
"Gift of Allah, Concern, Solicitude"			
Maanya		Maanya	"The quiet one, Worthy of honor, Respected, Honourable"
"The quiet one, Worthy of honor, Respected, Honourable"			
Darshika		Darshika	"Perceiver, One who is intelligent and wise"
"Perceiver, One who is intelligent and wise"			
Sumaira		Sumaira	"Successful, Celebrated, A famous woman, A woman who is brownish"
"Successful, Celebrated, A famous woman, A woman who is brownish"			
Zara		Zara	"In flower, Bright as the dawn, Brilliance, Blossoming flower"
"In flower, Bright as the dawn, Brilliance, Blossoming flower"			
Aaravi		Aaravi	"Peace, the state of tranquility and harmony"
"Peace, the state of tranquility and harmony"			
Nihira		Nihira	Newly found treasure
Newly found treasure			
Parnika		Parnika	"Creeper, A small leaf, Goddess Parvati, A small leaf, One of many names of Goddess Parvathi"
"Creeper, A small leaf, Goddess Parvati, A small leaf, One of many names of Goddess Parvathi"			
Eyana		Eyana	An eternal blossom. Americanised form of Aiyana
An eternal blossom. Americanised form of Aiyana			
Adhira		Adhira	"Lightning, Strong, Quick, lightening"
"Lightning, Strong, Quick, lightening"			
Yashvi		Yashvi	Fame
Fame			
Krishika		Krishika	"Grower, Prosperity"
"Grower, Prosperity"			
